Id, название, сайт, текущий статус, срок 1, результат 1, срок 2, результат 2, итог
2021,,,,,,,,
1, ITNT, itnt-conf.org, текст статьи до 7 апреля, 27.01.2021 окончание приёма тезисов, тезисы приняты, 07.04.2021->15.04.2021 Окончание приёма расширенных версий статей в англоязычные сборники, расширенная статья принята, тезисы и статья опубликованы
2, DAMDID/RCDL'2021, www.damdid2021.misis.ru (ссылка не работает), название до 30 марта, Preliminary title of the paper: March 30 2021,, Submission deadline for papers: April 30 2021, ,
3, журнал В.А.Сухомлина,,нужно название журнала,,,,,
4, Russian Supercomputing Days, russianscdays.org/en, нужно выбрать что подавать, 15.04.21 Окончание приёма работ,,,,
5, Нейроинформатика-2021, neuroinfo.ru/index.php/ru, нужно выбрать что подавать, 20.05.21 Окончание приёма докладов(!),,,,
6, ICAICA 2021, www.icaica.org, нужно выбрать что подавать, 30.04.21 Окончание приёма работ,,,,
2022,,,,,,,,
7, ММРО, machinelearning.ru/wiki/index.php?title=MMPR, текст статьи до 01.02.22, 01.02.22,,,,
8, ITNT, itnt-conf.org, текст статьи до 3 марта, 22.02.2022 окончание приёма тезисов,,,,
9, FRUCT, www.fruct.org/cfp31, текст статьи или тезисов до 28.02.2022, 28.02.2022,,,,
10, DAMDID, damdid.org/section.php?id=25, текст статьи до 20 апреля, 15.03.2022 окончание приёма тезисов,,,,
11, Russian Supercomputing Days, russianscdays.org/en, текст статьи до 15 апреля, 01.04.2022 окончание приёма тезисов,,,,
